,Algoritmo,Objetivo,Tempo de processamento
0,Busca em Largura,1,13
1,Busca em Largura,2,15
2,Busca em Largura,3,9
3,Busca em Largura,4,14
4,Busca em Largura,5,20
5,Busca em Largura,6,32
6,Busca em Largura,7,43
7,Busca em Largura,8,67
8,Busca em Largura,9,90
9,Busca em Largura,10,834
10,Busca em Largura,11,183
11,Busca em Largura,12,287
12,Busca em Largura,13,1465
13,Busca em Largura,14,687
14,Busca em Largura,15,805
15,Busca em Largura,16,1242
16,Busca em Largura,17,1843
17,Busca em Largura,18,2156
18,Busca em Largura,19,3009
19,Busca em Largura,20,5224
20,Busca em Largura,21,6021
21,Busca em Largura,22,8171
22,Busca em Largura,23,9672
23,Busca em Largura,24,13782
24,Busca em Largura,25,16748
25,Busca em Largura,26,27271
26,Busca em Largura,27,34099
27,Busca em Largura,28,49124
28,Busca em Largura,29,66919
29,Busca em Largura,30,100104
30,Busca em Largura,31,136567
31,Busca em Largura,32,198265
32,Busca em Largura,33,261248
33,Busca em Largura,34,394455
34,Busca em Largura,35,536788
35,Busca em Largura,36,58398
36,Busca em Largura,37,77752
37,Busca em Largura,38,888317
38,Busca em Largura,39,173705
39,Busca em Largura,40,635088
40,Busca em Largura,41,320912
41,Busca em Largura,42,603325
42,Busca em Largura,43,756878
43,Busca em Largura,44,638929
44,Busca em Largura,45,526786
45,Busca em Largura,46,995943
46,Busca em Largura,47,377921
47,Busca em Largura,48,658620
48,Busca em Largura,49,494788
49,Busca em Largura,50,727312
