,Algoritmo,Objetivo,Tempo de processamento
0,Busca em Profundidade com m = 10,1,7
1,Busca em Profundidade com m = 10,2,8
2,Busca em Profundidade com m = 10,3,5
3,Busca em Profundidade com m = 10,4,9
4,Busca em Profundidade com m = 10,5,7
5,Busca em Profundidade com m = 10,6,11
6,Busca em Profundidade com m = 10,7,9
7,Busca em Profundidade com m = 10,8,14
8,Busca em Profundidade com m = 10,9,13
9,Busca em Profundidade com m = 10,10,15
10,Busca em Profundidade com m = 10,11,15
11,Busca em Profundidade com m = 10,12,18
12,Busca em Profundidade com m = 10,13,18
13,Busca em Profundidade com m = 10,14,20
14,Busca em Profundidade com m = 10,15,19
15,Busca em Profundidade com m = 10,16,23
16,Busca em Profundidade com m = 10,17,22
17,Busca em Profundidade com m = 10,18,25
18,Busca em Profundidade com m = 10,19,24
19,Busca em Profundidade com m = 10,20,28
20,Busca em Profundidade com m = 10,21,27
21,Busca em Profundidade com m = 10,22,Sem resultado
22,Busca em Profundidade com m = 10,23,Sem resultado
23,Busca em Profundidade com m = 10,24,Sem resultado
24,Busca em Profundidade com m = 10,25,Sem resultado
25,Busca em Profundidade com m = 10,26,Sem resultado
26,Busca em Profundidade com m = 10,27,Sem resultado
27,Busca em Profundidade com m = 10,28,Sem resultado
28,Busca em Profundidade com m = 10,29,Sem resultado
29,Busca em Profundidade com m = 10,30,Sem resultado
30,Busca em Profundidade com m = 10,31,Sem resultado
31,Busca em Profundidade com m = 10,32,Sem resultado
32,Busca em Profundidade com m = 10,33,Sem resultado
33,Busca em Profundidade com m = 10,34,Sem resultado
34,Busca em Profundidade com m = 10,35,Sem resultado
35,Busca em Profundidade com m = 10,36,Sem resultado
36,Busca em Profundidade com m = 10,37,Sem resultado
37,Busca em Profundidade com m = 10,38,Sem resultado
38,Busca em Profundidade com m = 10,39,Sem resultado
39,Busca em Profundidade com m = 10,40,Sem resultado
40,Busca em Profundidade com m = 10,41,Sem resultado
41,Busca em Profundidade com m = 10,42,Sem resultado
42,Busca em Profundidade com m = 10,43,Sem resultado
43,Busca em Profundidade com m = 10,44,Sem resultado
44,Busca em Profundidade com m = 10,45,Sem resultado
45,Busca em Profundidade com m = 10,46,Sem resultado
46,Busca em Profundidade com m = 10,47,Sem resultado
47,Busca em Profundidade com m = 10,48,Sem resultado
48,Busca em Profundidade com m = 10,49,Sem resultado
49,Busca em Profundidade com m = 10,50,Sem resultado
