Algoritmo,Objetivo,Tempo de processamento
Busca em Profundidade Iterativa,1,9
Busca em Profundidade Iterativa,2,10
Busca em Profundidade Iterativa,3,6
Busca em Profundidade Iterativa,4,15
Busca em Profundidade Iterativa,5,13
Busca em Profundidade Iterativa,6,28
Busca em Profundidade Iterativa,7,28
Busca em Profundidade Iterativa,8,55
Busca em Profundidade Iterativa,9,56
Busca em Profundidade Iterativa,10,110
Busca em Profundidade Iterativa,11,110
Busca em Profundidade Iterativa,12,219
Busca em Profundidade Iterativa,13,219
Busca em Profundidade Iterativa,14,432
Busca em Profundidade Iterativa,15,433
Busca em Profundidade Iterativa,16,858
Busca em Profundidade Iterativa,17,857
Busca em Profundidade Iterativa,18,1811
Busca em Profundidade Iterativa,19,1512
Busca em Profundidade Iterativa,20,2990
Busca em Profundidade Iterativa,21,2951
Busca em Profundidade Iterativa,22,5431
Busca em Profundidade Iterativa,23,5184
Busca em Profundidade Iterativa,24,9443
Busca em Profundidade Iterativa,25,8537
Busca em Profundidade Iterativa,26,16113
Busca em Profundidade Iterativa,27,14929
Busca em Profundidade Iterativa,28,30059
Busca em Profundidade Iterativa,29,29069
Busca em Profundidade Iterativa,30,58090
Busca em Profundidade Iterativa,31,62656
Busca em Profundidade Iterativa,32,117389
Busca em Profundidade Iterativa,33,115413
Busca em Profundidade Iterativa,34,234713
Busca em Profundidade Iterativa,35,233294
Busca em Profundidade Iterativa,36,467862
Busca em Profundidade Iterativa,37,466148
Busca em Profundidade Iterativa,38,921964
Busca em Profundidade Iterativa,39,917613
Busca em Profundidade Iterativa,40,841649
Busca em Profundidade Iterativa,41,841712
Busca em Profundidade Iterativa,42,691710
Busca em Profundidade Iterativa,43,675027
Busca em Profundidade Iterativa,44,369967
Busca em Profundidade Iterativa,45,353144
Busca em Profundidade Iterativa,46,727941
Busca em Profundidade Iterativa,47,711772
Busca em Profundidade Iterativa,48,425270
Busca em Profundidade Iterativa,49,452128
Busca em Profundidade Iterativa,50,912571
